Code,Occupation,Job Family,Cluster
25-1122.00,communications teachers postsecondary,Educational Instruction and Library,2
21-1099.00,community social service specialists,Community and Social Service,4
21-1094.00,community health workers,Community and Social Service,0
11-3111.00,compensation benefits managers,Management,7
13-1141.00,compensation benefits job analysis specialists,Business and Financial Operations,4
11-9199.02,compliance managers,Management,7
13-1041.00,compliance officers,Business and Financial Operations,0
15-1221.00,computer information research scientists,Computer and Mathematical,0
11-3021.00,computer information systems managers,Management,7
17-2061.00,computer hardware engineers,Architecture and Engineering,9
15-1241.00,computer network architects,Computer and Mathematical,0
15-1231.00,computer network support specialists,Computer and Mathematical,4
51-9161.00,computer numerically controlled tool operators,Production,0
51-9162.00,computer numerically controlled tool programmers,Production,0
15-1299.00,computer occupations,Computer and Mathematical,0
15-1251.00,computer programmers,Computer and Mathematical,0
25-1021.00,computer science teachers postsecondary,Educational Instruction and Library,2
15-1211.00,computer systems analysts,Computer and Mathematical,0
15-1299.08,computer systems engineersarchitects,Computer and Mathematical,0
15-1232.00,computer user support specialists,Computer and Mathematical,4
49-2011.00,computer automated teller office machine repairers,"Installation, Maintenance, and Repair",0
39-6012.00,concierges,Personal Care and Service,0
19-1031.00,conservation scientists,"Life, Physical, and Social Science",0
47-4011.00,construction building inspectors,Construction and Extraction,0
47-4099.00,construction related workers,Construction and Extraction,0
47-2061.00,construction laborers,Construction and Extraction,0
11-9021.00,construction managers,Management,7
47-5041.00,continuous mining machine operators,Construction and Extraction,0
49-9012.00,control valve installers repairers except mechanical door,"Installation, Maintenance, and Repair",0
53-7011.00,conveyor operators tenders,Transportation and Material Moving,0
35-2019.00,cooks,Food Preparation and Serving Related,0
35-2011.00,cooks fast food,Food Preparation and Serving Related,0
35-2012.00,cooks institution cafeteria,Food Preparation and Serving Related,0
35-2013.00,cooks private household,Food Preparation and Serving Related,0
35-2014.00,cooks restaurant,Food Preparation and Serving Related,0
35-2015.00,cooks short order,Food Preparation and Serving Related,0
51-9193.00,cooling freezing equipment operators tenders,Production,5
13-1041.06,coroners,Business and Financial Operations,0
33-3012.00,correctional officers jailers,Protective Service,0
43-4021.00,correspondence clerks,Office and Administrative Support,0
13-1051.00,cost estimators,Business and Financial Operations,0
39-3092.00,costume attendants,Personal Care and Service,0
21-1019.00,counselors,Community and Social Service,0
41-2021.00,counter rental clerks,Sales and Related,0
43-5021.00,couriers messengers,Office and Administrative Support,0
27-3092.00,court reporters simultaneous captioners,"Arts, Design, Entertainment, Sports, and Media",0
43-4031.00,court municipal license clerks,Office and Administrative Support,0
27-1012.00,craft artists,"Arts, Design, Entertainment, Sports, and Media",0
53-7021.00,crane tower operators,Transportation and Material Moving,0
13-2041.00,credit analysts,Business and Financial Operations,0
43-4041.00,credit authorizers checkers clerks,Office and Administrative Support,0
13-2071.00,credit counselors,Business and Financial Operations,0
39-4012.00,crematory operators,Personal Care and Service,0
25-1111.00,criminal justice law enforcement teachers postsecondary,Educational Instruction and Library,2
29-1141.03,critical care nurses,Healthcare Practitioners and Technical,0
33-9091.00,crossing guards flaggers,Protective Service,0
51-9021.00,crushing grinding polishing machine setters operators tenders,Production,0
25-4012.00,curators,Educational Instruction and Library,0
43-4051.00,customer service representatives,Office and Administrative Support,3
33-3051.04,customs border protection officers,Protective Service,0
13-1041.08,customs brokers,Business and Financial Operations,0
51-9031.00,cutters trimmers hand,Production,0
51-9032.00,cutting slicing machine setters operators tenders,Production,0
51-4031.00,cutting punching press machine setters operators tenders metal plastic,Production,0
29-2011.01,cytogenetic technologists,Healthcare Practitioners and Technical,0
29-2011.02,cytotechnologists,Healthcare Practitioners and Technical,0
27-2031.00,dancers,"Arts, Design, Entertainment, Sports, and Media",0
43-9021.00,data entry keyers,Office and Administrative Support,0
15-2051.00,data scientists,Computer and Mathematical,0
15-1243.01,data warehousing specialists,Computer and Mathematical,4
15-1242.00,database administrators,Computer and Mathematical,0
15-1243.00,database architects,Computer and Mathematical,0
41-9011.00,demonstrators product promoters,Sales and Related,0
31-9091.00,dental assistants,Healthcare Support,0
29-1292.00,dental hygienists,Healthcare Practitioners and Technical,0
51-9081.00,dental laboratory technicians,Production,1
29-1029.00,dentists specialists,Healthcare Practitioners and Technical,4
29-1021.00,dentists general,Healthcare Practitioners and Technical,0
29-1213.00,dermatologists,Healthcare Practitioners and Technical,0
47-5011.00,derrick operators oil gas,Construction and Extraction,0
27-1029.00,designers,"Arts, Design, Entertainment, Sports, and Media",0
43-9031.00,desktop publishers,Office and Administrative Support,0
33-3021.00,detectives criminal investigators,Protective Service,0
29-2032.00,diagnostic medical sonographers,Healthcare Practitioners and Technical,0
29-2051.00,dietetic technicians,Healthcare Practitioners and Technical,1
29-1031.00,dietitians nutritionists,Healthcare Practitioners and Technical,0
15-1299.06,digital forensics analysts,Computer and Mathematical,0
35-9011.00,dining room cafeteria attendants bartender helpers,Food Preparation and Serving Related,0
21-2021.00,directors religious activities education,Community and Social Service,0
27-2091.00,disc jockeys except radio,"Arts, Design, Entertainment, Sports, and Media",0
